# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-0.8351             2.0675              
-0.8476             2.072               
-0.8601             2.0765              
-0.8726             2.0809              
-0.8851             2.0853              
-0.8975             2.0896              
-0.9099             2.0938              
-0.9223             2.0981              
-0.9347             2.1022              
-0.947              2.1063              
-0.9594             2.1104              
-0.9717             2.1144              
-0.9839             2.1184              
-0.9962             2.1223              
-1.0084             2.1262              
-1.0207             2.13                
-1.0329             2.1338              
-1.045              2.1375              
-1.0572             2.1412              
-1.0693             2.1448              
-1.0814             2.1484              
-1.0935             2.1519              
-1.1055             2.1554              
-1.1176             2.1589              
-1.1296             2.1623              
-1.1416             2.1657              
-1.1535             2.169               
-1.1655             2.1723              
-1.1774             2.1756              
-1.1893             2.1788              
-1.2012             2.1819              
-1.2131             2.185               
-1.2249             2.1881              
-1.2367             2.1912              
-1.2485             2.1942              
-1.2602             2.1971              
-1.272              2.2                 
-1.2837             2.2029              
-1.2954             2.2058              
-1.3071             2.2086              
-1.3187             2.2113              
-1.3304             2.2141              
-1.342              2.2168              
-1.3536             2.2194              
-1.3651             2.222               
-1.3767             2.2246              
-1.3882             2.2272              
-1.3997             2.2297              
-1.4112             2.2322              
-1.4226             2.2346              
-1.434              2.237               
-1.4454             2.2394              
-1.4568             2.2417              
-1.4682             2.244               
-1.4795             2.2463              
-1.4909             2.2485              
-1.5022             2.2507              
-1.5134             2.2529              
-1.5247             2.255               
-1.5359             2.2571              
-1.5471             2.2592              
-1.5583             2.2612              
-1.5695             2.2633              
-1.5806             2.2652              
-1.5917             2.2672              
-1.6028             2.2691              
-1.6139             2.271               
-1.625              2.2728              
-1.636              2.2747              
-1.647              2.2764              
-1.658              2.2782              
-1.669              2.2799              
-1.6799             2.2816              
-1.6909             2.2833              
-1.7018             2.285               
-1.7126             2.2866              
-1.7235             2.2882              
-1.7344             2.2897              
-1.7452             2.2913              
-1.756              2.2928              
-1.7668             2.2942              
-1.7775             2.2957              
-1.7882             2.2971              
-1.799              2.2985              
-1.8097             2.2999              
-1.8203             2.3012              
-1.831              2.3025              
-1.8416             2.3038              
-1.8522             2.3051              
-1.8628             2.3063              
-1.8734             2.3075              
-1.8839             2.3087              
-1.8945             2.3099              
-1.905              2.311               
-1.9154             2.3121              
-1.9259             2.3132              
-1.9364             2.3143              
-1.9468             2.3153              
-1.9572             2.3163              
-1.9676             2.3173              
-1.9779             2.3183              
-1.9883             2.3192              
-1.9986             2.3201              
-2.0089             2.321               
-2.0192             2.3219              
-2.0294             2.3227              
-2.0397             2.3235              
-2.0499             2.3243              
-2.0601             2.3251              
-2.0703             2.3259              
-2.0804             2.3266              
-2.0906             2.3273              
-2.1007             2.328               
-2.1108             2.3287              
-2.1209             2.3293              
-2.1309             2.3299              
-2.141              2.3305              
-2.151              2.3311              
-2.161              2.3317              
-2.171              2.3322              
-2.181              2.3327              
-2.1909             2.3332              
-2.2008             2.3337              
-2.2107             2.3341              
-2.2206             2.3346              
-2.2305             2.335               
-2.2403             2.3354              
-2.2502             2.3358              
-2.26               2.3361              
-2.2698             2.3364              
-2.2795             2.3368              
-2.2893             2.3371              
-2.299              2.3373              
-2.3087             2.3376              
-2.3184             2.3378              
-2.3281             2.338               
-2.3378             2.3382              
-2.3474             2.3384              
-2.357              2.3386              
-2.3666             2.3387              
-2.3762             2.3388              
-2.3858             2.3389              
-2.3953             2.339               
-2.4048             2.3391              
-2.4143             2.3391              
-2.4238             2.3392              
-2.4333             2.3392              
-2.4428             2.3392              
-2.4522             2.3392              
-2.4616             2.3391              
-2.471              2.3391              
-2.4804             2.339               
-2.4897             2.3389              
-2.4991             2.3388              
-2.5084             2.3387              
-2.5177             2.3385              
-2.527              2.3384              
-2.5363             2.3382              
-2.5455             2.338               
-2.5548             2.3378              
-2.564              2.3376              
-2.5732             2.3373              
-2.5824             2.3371              
-2.5915             2.3368              
-2.6007             2.3365              
-2.6098             2.3362              
-2.6189             2.3359              
-2.628              2.3355              
-2.6371             2.3352              
-2.6461             2.3348              
-2.6552             2.3344              
-2.6642             2.334               
-2.6732             2.3336              
-2.6822             2.3332              
-2.6911             2.3328              
-2.7001             2.3323              
-2.709              2.3318              
-2.7179             2.3313              
-2.7268             2.3308              
-2.7357             2.3303              
-2.7446             2.3298              
-2.7534             2.3292              
-2.7623             2.3287              
-2.7711             2.3281              
-2.7799             2.3275              
-2.7886             2.3269              
-2.7974             2.3263              
-2.8062             2.3256              
-2.8149             2.325               
-2.8236             2.3243              
-2.8323             2.3236              
-2.841              2.3229              
-2.8496             2.3222              
-2.8583             2.3215              
-2.8669             2.3208              
-2.8755             2.3201              
-2.8841             2.3193              
-2.8927             2.3185              
-2.9012             2.3177              
-2.9098             2.3169              
-2.9183             2.3161              
-2.9268             2.3153              
-2.9353             2.3145              
-2.9438             2.3136              
-2.9523             2.3128              
-2.9607             2.3119              
-2.9691             2.311               
-2.9776             2.3101              
-2.9859             2.3092              
-2.9943             2.3082              
-3.0027             2.3073              
-3.011              2.3064              
-3.0194             2.3054              
-3.0277             2.3044              
-3.036              2.3034              
-3.0443             2.3024              
-3.0525             2.3014              
-3.0608             2.3004              
-3.069              2.2994              
-3.0773             2.2983              
-3.0855             2.2973              
-3.0936             2.2962              
-3.1018             2.2951              
-3.11               2.294               
-3.1181             2.2929              
-3.1262             2.2918              
-3.1344             2.2906              
-3.1425             2.2895              
-3.1505             2.2884              
-3.1586             2.2872              
-3.1666             2.286               
-3.1747             2.2848              
-3.1827             2.2836              
-3.1907             2.2824              
-3.1987             2.2812              
-3.2066             2.28                
-3.2146             2.2787              
-3.2225             2.2775              
-3.2305             2.2762              
-3.2384             2.2749              
-3.2463             2.2737              
-3.2541             2.2724              
-3.262              2.2711              
-3.2699             2.2697              
-3.2777             2.2684              
-3.2855             2.2671              
-3.2933             2.2657              
-3.3011             2.2644              
-3.3089             2.263               
-3.3166             2.2616              
-3.3244             2.2602              
-3.3321             2.2588              
-3.3398             2.2574              
-3.3475             2.256               
-3.3552             2.2546              
-3.3629             2.2531              
-3.3705             2.2517              
-3.3781             2.2502              
-3.3858             2.2487              
-3.3934             2.2473              
-3.401              2.2458              
-3.4086             2.2443              
-3.4161             2.2428              
-3.4237             2.2413              
-3.4312             2.2397              
-3.4387             2.2382              
-3.4462             2.2366              
-3.4537             2.2351              
-3.4612             2.2335              
-3.4687             2.2319              
-3.4761             2.2304              
-3.4835             2.2288              
-3.491              2.2272              
-3.4984             2.2256              
-3.5058             2.2239              
-3.5131             2.2223              
-3.5205             2.2207              
-3.5278             2.219               
-3.5352             2.2174              
-3.5425             2.2157              
-3.5498             2.214               
-3.5571             2.2123              
-3.5644             2.2106              
-3.5716             2.2089              
-3.5789             2.2072              
-3.5861             2.2055              
-3.5933             2.2038              
-3.6005             2.202               
-3.6077             2.2003              
-3.6149             2.1986              
-3.6221             2.1968              
-3.6292             2.195               
-3.6364             2.1932              
-3.6435             2.1915              
-3.6506             2.1897              
-3.6577             2.1879              
-3.6648             2.186               
-3.6718             2.1842              
-3.6789             2.1824              
-3.6859             2.1806              
-3.693              2.1787              
-3.7                2.1769              
-3.707              2.175               
-3.7139             2.1731              
-3.7209             2.1713              
-3.7279             2.1694              
-3.7348             2.1675              
-3.7418             2.1656              
-3.7487             2.1637              
-3.7556             2.1618              
-3.7625             2.1598              
-3.7693             2.1579              
-3.7762             2.156               
-3.783              2.154               
-3.7899             2.1521              
-3.7967             2.1501              
-3.8035             2.1481              
-3.8103             2.1461              
-3.8171             2.1442              
-3.8239             2.1422              
-3.8306             2.1402              
-3.8374             2.1382              
-3.8441             2.1361              
-3.8508             2.1341              
-3.8575             2.1321              
-3.8642             2.1301              
-3.8709             2.128               
-3.8775             2.126               
-3.8842             2.1239              
-3.8908             2.1218              
-3.8974             2.1198              
-3.9041             2.1177              
-3.9107             2.1156              
-3.9172             2.1135              
-3.9238             2.1114              
-3.9304             2.1093              
-3.9369             2.1072              
-3.9434             2.1051              
-3.95               2.1029              
-3.9565             2.1008              
-3.963              2.0987              
-3.9694             2.0965              
-3.9759             2.0943              
-3.9824             2.0922              
-3.9888             2.09                
-3.9952             2.0878              
-4.0017             2.0857              
-4.0081             2.0835              
-4.0144             2.0813              
-4.0208             2.0791              
-4.0272             2.0769              
-4.0335             2.0746              
-4.0399             2.0724              
-4.0462             2.0702              
-4.0525             2.068               
-4.0588             2.0657              
-4.0651             2.0635              
-4.0714             2.0612              
-4.0777             2.0589              
-4.0839             2.0567              
-4.0902             2.0544              
-4.0964             2.0521              
-4.1026             2.0498              
-4.1088             2.0475              
-4.115              2.0452              
-4.1212             2.0429              
-4.1273             2.0406              
-4.1335             2.0383              
-4.1396             2.036               
-4.1458             2.0337              
-4.1519             2.0313              
-4.158              2.029               
-4.1641             2.0266              
-4.1701             2.0243              
-4.1762             2.0219              
-4.1823             2.0196              
-4.1883             2.0172              
-4.1943             2.0148              
-4.2003             2.0124              
-4.2064             2.01                
-4.2123             2.0076              
-4.2183             2.0052              
-4.2243             2.0028              
-4.2302             2.0004              
-4.2362             1.998               
-4.2421             1.9956              
-4.248              1.9932              
-4.254              1.9907              
-4.2598             1.9883              
-4.2657             1.9858              
-4.2716             1.9834              
-4.2775             1.9809              
-4.2833             1.9785              
-4.2891             1.976               
-4.295              1.9735              
-4.3008             1.971               
-4.3066             1.9686              
-4.3124             1.9661              
-4.3181             1.9636              
-4.3239             1.9611              
-4.3297             1.9586              
-4.3354             1.9561              
-4.3411             1.9535              
-4.3469             1.951               
-4.3526             1.9485              
-4.3583             1.946               
-4.3639             1.9434              
-4.3696             1.9409              
-4.3753             1.9383              
-4.3809             1.9358              
-4.3865             1.9332              
-4.3922             1.9306              
-4.3978             1.9281              
-4.4034             1.9255              
-4.409              1.9229              
-4.4145             1.9203              
-4.4201             1.9177              
-4.4257             1.9152              
-4.4312             1.9126              
-4.4367             1.9099              
-4.4423             1.9073              
-4.4478             1.9047              
-4.4533             1.9021              
