# fichier halley.txt
############################################################################################
# Positions prévues de la comète Halley par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-20.0788            26.9134             
-20.0785            26.9138             
-20.0782            26.9143             
-20.0779            26.9147             
-20.0776            26.9152             
-20.0772            26.9156             
-20.0769            26.9161             
-20.0766            26.9165             
-20.0763            26.9169             
-20.076             26.9174             
-20.0756            26.9178             
-20.0753            26.9183             
-20.075             26.9187             
-20.0747            26.9192             
-20.0743            26.9196             
-20.074             26.9201             
-20.0737            26.9205             
-20.0734            26.9209             
-20.0731            26.9214             
-20.0727            26.9218             
-20.0724            26.9223             
-20.0721            26.9227             
-20.0718            26.9232             
-20.0714            26.9236             
-20.0711            26.9241             
-20.0708            26.9245             
-20.0705            26.9249             
-20.0701            26.9254             
-20.0698            26.9258             
-20.0695            26.9263             
-20.0692            26.9267             
-20.0688            26.9271             
-20.0685            26.9276             
-20.0682            26.928              
-20.0679            26.9285             
-20.0676            26.9289             
-20.0672            26.9294             
-20.0669            26.9298             
-20.0666            26.9302             
-20.0662            26.9307             
-20.0659            26.9311             
-20.0656            26.9316             
-20.0653            26.932              
-20.0649            26.9324             
-20.0646            26.9329             
-20.0643            26.9333             
-20.064             26.9337             
-20.0636            26.9342             
-20.0633            26.9346             
-20.063             26.9351             
-20.0627            26.9355             
-20.0623            26.9359             
-20.062             26.9364             
-20.0617            26.9368             
-20.0614            26.9372             
-20.061             26.9377             
-20.0607            26.9381             
-20.0604            26.9386             
-20.06              26.939              
-20.0597            26.9394             
-20.0594            26.9399             
-20.0591            26.9403             
-20.0587            26.9407             
-20.0584            26.9412             
-20.0581            26.9416             
-20.0577            26.942              
-20.0574            26.9425             
-20.0571            26.9429             
-20.0568            26.9433             
-20.0564            26.9438             
-20.0561            26.9442             
-20.0558            26.9447             
-20.0554            26.9451             
-20.0551            26.9455             
-20.0548            26.946              
-20.0544            26.9464             
-20.0541            26.9468             
-20.0538            26.9473             
-20.0535            26.9477             
-20.0531            26.9481             
-20.0528            26.9486             
-20.0525            26.949              
-20.0521            26.9494             
-20.0518            26.9498             
-20.0515            26.9503             
-20.0511            26.9507             
-20.0508            26.9511             
-20.0505            26.9516             
-20.0501            26.952              
-20.0498            26.9524             
-20.0495            26.9529             
-20.0491            26.9533             
-20.0488            26.9537             
-20.0485            26.9542             
-20.0481            26.9546             
-20.0478            26.955              
-20.0475            26.9554             
-20.0471            26.9559             
-20.0468            26.9563             
-20.0465            26.9567             
-20.0461            26.9572             
-20.0458            26.9576             
-20.0455            26.958              
-20.0451            26.9584             
-20.0448            26.9589             
-20.0445            26.9593             
-20.0441            26.9597             
-20.0438            26.9602             
-20.0435            26.9606             
-20.0431            26.961              
-20.0428            26.9614             
-20.0425            26.9619             
-20.0421            26.9623             
-20.0418            26.9627             
-20.0415            26.9631             
-20.0411            26.9636             
-20.0408            26.964              
-20.0404            26.9644             
-20.0401            26.9648             
-20.0398            26.9653             
-20.0394            26.9657             
-20.0391            26.9661             
-20.0388            26.9665             
-20.0384            26.967              
-20.0381            26.9674             
-20.0378            26.9678             
-20.0374            26.9682             
-20.0371            26.9687             
-20.0367            26.9691             
-20.0364            26.9695             
-20.0361            26.9699             
-20.0357            26.9704             
-20.0354            26.9708             
-20.035             26.9712             
-20.0347            26.9716             
-20.0344            26.972              
-20.034             26.9725             
-20.0337            26.9729             
-20.0334            26.9733             
-20.033             26.9737             
-20.0327            26.9742             
-20.0323            26.9746             
-20.032             26.975              
-20.0317            26.9754             
-20.0313            26.9758             
-20.031             26.9763             
-20.0306            26.9767             
-20.0303            26.9771             
-20.03              26.9775             
-20.0296            26.9779             
-20.0293            26.9784             
-20.0289            26.9788             
-20.0286            26.9792             
-20.0283            26.9796             
-20.0279            26.98               
-20.0276            26.9805             
-20.0272            26.9809             
-20.0269            26.9813             
-20.0265            26.9817             
-20.0262            26.9821             
-20.0259            26.9825             
-20.0255            26.983              
-20.0252            26.9834             
-20.0248            26.9838             
-20.0245            26.9842             
-20.0242            26.9846             
-20.0238            26.985              
-20.0235            26.9855             
-20.0231            26.9859             
-20.0228            26.9863             
-20.0224            26.9867             
-20.0221            26.9871             
-20.0217            26.9875             
-20.0214            26.988              
-20.0211            26.9884             
-20.0207            26.9888             
-20.0204            26.9892             
-20.02              26.9896             
-20.0197            26.99               
-20.0193            26.9904             
-20.019             26.9909             
-20.0186            26.9913             
-20.0183            26.9917             
-20.018             26.9921             
-20.0176            26.9925             
-20.0173            26.9929             
-20.0169            26.9933             
-20.0166            26.9937             
-20.0162            26.9942             
-20.0159            26.9946             
-20.0155            26.995              
-20.0152            26.9954             
-20.0148            26.9958             
-20.0145            26.9962             
-20.0142            26.9966             
-20.0138            26.997              
-20.0135            26.9974             
-20.0131            26.9979             
-20.0128            26.9983             
-20.0124            26.9987             
-20.0121            26.9991             
-20.0117            26.9995             
-20.0114            26.9999             
-20.011             27.0003             
-20.0107            27.0007             
-20.0103            27.0011             
-20.01              27.0015             
-20.0096            27.002              
-20.0093            27.0024             
-20.0089            27.0028             
-20.0086            27.0032             
-20.0082            27.0036             
-20.0079            27.004              
-20.0075            27.0044             
-20.0072            27.0048             
-20.0068            27.0052             
-20.0065            27.0056             
-20.0061            27.006              
-20.0058            27.0064             
-20.0054            27.0068             
-20.0051            27.0073             
-20.0047            27.0077             
-20.0044            27.0081             
-20.004             27.0085             
-20.0037            27.0089             
-20.0033            27.0093             
-20.003             27.0097             
-20.0026            27.0101             
-20.0023            27.0105             
-20.0019            27.0109             
-20.0016            27.0113             
-20.0012            27.0117             
-20.0009            27.0121             
-20.0005            27.0125             
-20.0002            27.0129             
-19.9998            27.0133             
-19.9995            27.0137             
-19.9991            27.0141             
-19.9988            27.0145             
-19.9984            27.0149             
-19.9981            27.0153             
-19.9977            27.0157             
-19.9973            27.0161             
-19.997             27.0166             
-19.9966            27.017              
-19.9963            27.0174             
-19.9959            27.0178             
-19.9956            27.0182             
-19.9952            27.0186             
-19.9949            27.019              
-19.9945            27.0194             
-19.9942            27.0198             
-19.9938            27.0202             
-19.9935            27.0206             
-19.9931            27.021              
-19.9927            27.0214             
-19.9924            27.0218             
-19.992             27.0222             
-19.9917            27.0226             
-19.9913            27.023              
-19.991             27.0234             
-19.9906            27.0238             
-19.9903            27.0242             
-19.9899            27.0246             
-19.9895            27.025              
-19.9892            27.0254             
-19.9888            27.0257             
-19.9885            27.0261             
-19.9881            27.0265             
-19.9878            27.0269             
-19.9874            27.0273             
-19.987             27.0277             
-19.9867            27.0281             
-19.9863            27.0285             
-19.986             27.0289             
-19.9856            27.0293             
-19.9853            27.0297             
-19.9849            27.0301             
-19.9845            27.0305             
-19.9842            27.0309             
-19.9838            27.0313             
-19.9835            27.0317             
-19.9831            27.0321             
-19.9827            27.0325             
-19.9824            27.0329             
-19.982             27.0333             
-19.9817            27.0337             
-19.9813            27.0341             
-19.9809            27.0345             
-19.9806            27.0348             
-19.9802            27.0352             
-19.9799            27.0356             
-19.9795            27.036              
-19.9791            27.0364             
-19.9788            27.0368             
-19.9784            27.0372             
-19.9781            27.0376             
-19.9777            27.038              
-19.9773            27.0384             
-19.977             27.0388             
-19.9766            27.0392             
-19.9763            27.0396             
-19.9759            27.0399             
-19.9755            27.0403             
-19.9752            27.0407             
-19.9748            27.0411             
-19.9745            27.0415             
-19.9741            27.0419             
-19.9737            27.0423             
-19.9734            27.0427             
-19.973             27.0431             
-19.9726            27.0435             
-19.9723            27.0439             
-19.9719            27.0442             
-19.9715            27.0446             
-19.9712            27.045              
-19.9708            27.0454             
-19.9705            27.0458             
-19.9701            27.0462             
-19.9697            27.0466             
-19.9694            27.047              
-19.969             27.0473             
-19.9686            27.0477             
-19.9683            27.0481             
-19.9679            27.0485             
-19.9675            27.0489             
-19.9672            27.0493             
-19.9668            27.0497             
-19.9665            27.0501             
-19.9661            27.0504             
-19.9657            27.0508             
-19.9654            27.0512             
-19.965             27.0516             
-19.9646            27.052              
-19.9643            27.0524             
-19.9639            27.0528             
-19.9635            27.0531             
-19.9632            27.0535             
-19.9628            27.0539             
-19.9624            27.0543             
-19.9621            27.0547             
-19.9617            27.0551             
-19.9613            27.0554             
-19.961             27.0558             
-19.9606            27.0562             
-19.9602            27.0566             
-19.9599            27.057              
-19.9595            27.0574             
-19.9591            27.0577             
-19.9588            27.0581             
-19.9584            27.0585             
-19.958             27.0589             
-19.9576            27.0593             
-19.9573            27.0597             
-19.9569            27.06               
-19.9565            27.0604             
-19.9562            27.0608             
-19.9558            27.0612             
-19.9554            27.0616             
-19.9551            27.0619             
-19.9547            27.0623             
-19.9543            27.0627             
-19.954             27.0631             
-19.9536            27.0635             
-19.9532            27.0638             
-19.9528            27.0642             
-19.9525            27.0646             
-19.9521            27.065              
-19.9517            27.0654             
-19.9514            27.0657             
-19.951             27.0661             
-19.9506            27.0665             
-19.9503            27.0669             
-19.9499            27.0673             
-19.9495            27.0676             
-19.9491            27.068              
-19.9488            27.0684             
-19.9484            27.0688             
-19.948             27.0691             
-19.9476            27.0695             
-19.9473            27.0699             
-19.9469            27.0703             
-19.9465            27.0706             
-19.9462            27.071              
-19.9458            27.0714             
-19.9454            27.0718             
-19.945             27.0721             
-19.9447            27.0725             
-19.9443            27.0729             
-19.9439            27.0733             
-19.9435            27.0736             
-19.9432            27.074              
-19.9428            27.0744             
-19.9424            27.0748             
-19.9421            27.0751             
-19.9417            27.0755             
-19.9413            27.0759             
-19.9409            27.0763             
-19.9406            27.0766             
-19.9402            27.077              
-19.9398            27.0774             
-19.9394            27.0778             
-19.9391            27.0781             
-19.9387            27.0785             
-19.9383            27.0789             
-19.9379            27.0793             
-19.9376            27.0796             
-19.9372            27.08               
-19.9368            27.0804             
-19.9364            27.0807             
-19.936             27.0811             
-19.9357            27.0815             
-19.9353            27.0818             
-19.9349            27.0822             
-19.9345            27.0826             
-19.9342            27.083              
-19.9338            27.0833             
-19.9334            27.0837             
-19.933             27.0841             
-19.9327            27.0844             
-19.9323            27.0848             
-19.9319            27.0852             
-19.9315            27.0855             
-19.9311            27.0859             
-19.9308            27.0863             
-19.9304            27.0867             
-19.93              27.087              
-19.9296            27.0874             
-19.9292            27.0878             
-19.9289            27.0881             
-19.9285            27.0885             
-19.9281            27.0889             
-19.9277            27.0892             
-19.9274            27.0896             
-19.927             27.09               
-19.9266            27.0903             
-19.9262            27.0907             
-19.9258            27.0911             
-19.9255            27.0914             
-19.9251            27.0918             
-19.9247            27.0922             
-19.9243            27.0925             
-19.9239            27.0929             
-19.9236            27.0933             
-19.9232            27.0936             
-19.9228            27.094              
-19.9224            27.0943             
-19.922             27.0947             
-19.9216            27.0951             
-19.9213            27.0954             
-19.9209            27.0958             
-19.9205            27.0962             
-19.9201            27.0965             
-19.9197            27.0969             
-19.9194            27.0973             
-19.919             27.0976             
-19.9186            27.098              
-19.9182            27.0983             
-19.9178            27.0987             
-19.9174            27.0991             
-19.9171            27.0994             
-19.9167            27.0998             
-19.9163            27.1002             
-19.9159            27.1005             
-19.9155            27.1009             
-19.9151            27.1012             
-19.9148            27.1016             
-19.9144            27.102              
-19.914             27.1023             
-19.9136            27.1027             
-19.9132            27.103              
-19.9128            27.1034             
-19.9124            27.1038             
-19.9121            27.1041             
-19.9117            27.1045             
-19.9113            27.1048             
-19.9109            27.1052             
-19.9105            27.1056             
-19.9101            27.1059             
-19.9097            27.1063             
-19.9094            27.1066             
-19.909             27.107              
-19.9086            27.1073             
-19.9082            27.1077             
-19.9078            27.1081             
-19.9074            27.1084             
-19.907             27.1088             
-19.9067            27.1091             
-19.9063            27.1095             
-19.9059            27.1098             
-19.9055            27.1102             
-19.9051            27.1106             
-19.9047            27.1109             
-19.9043            27.1113             
-19.9039            27.1116             
-19.9036            27.112              
-19.9032            27.1123             
-19.9028            27.1127             
-19.9024            27.113              
-19.902             27.1134             
-19.9016            27.1138             
-19.9012            27.1141             
-19.9008            27.1145             
-19.9005            27.1148             
-19.9001            27.1152             
-19.8997            27.1155             
-19.8993            27.1159             
-19.8989            27.1162             
-19.8985            27.1166             
-19.8981            27.1169             
-19.8977            27.1173             
-19.8973            27.1176             
-19.8969            27.118              
-19.8966            27.1183             
-19.8962            27.1187             
-19.8958            27.119              
-19.8954            27.1194             
-19.895             27.1197             
-19.8946            27.1201             
-19.8942            27.1205             
-19.8938            27.1208             
-19.8934            27.1212             
