# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 15/ 4/2021, la deuxième au 16/ 4/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              Z (au)              
-0.0981             1.7055              0.2004              
-0.1116             1.7142              0.2018              
-0.125              1.7227              0.2032              
-0.1385             1.7312              0.2045              
-0.1519             1.7396              0.2059              
-0.1654             1.7479              0.2072              
-0.1788             1.756               0.2085              
-0.1922             1.7641              0.2099              
-0.2056             1.7721              0.2112              
-0.219              1.78                0.2125              
-0.2324             1.7878              0.2138              
-0.2458             1.7956              0.215               
-0.2591             1.8032              0.2163              
-0.2725             1.8108              0.2176              
-0.2858             1.8182              0.2188              
-0.2992             1.8256              0.22                
-0.3125             1.8329              0.2213              
-0.3258             1.8401              0.2225              
-0.3391             1.8473              0.2237              
-0.3523             1.8543              0.2249              
-0.3656             1.8613              0.2261              
-0.3788             1.8682              0.2272              
-0.392              1.875               0.2284              
-0.4052             1.8817              0.2296              
-0.4184             1.8884              0.2307              
-0.4316             1.895               0.2318              
-0.4448             1.9015              0.233               
-0.4579             1.908               0.2341              
-0.471              1.9143              0.2352              
-0.4841             1.9206              0.2363              
-0.4972             1.9268              0.2374              
-0.5103             1.933               0.2385              
-0.5233             1.9391              0.2396              
-0.5364             1.9451              0.2406              
-0.5494             1.951               0.2417              
-0.5624             1.9569              0.2427              
-0.5753             1.9627              0.2438              
-0.5883             1.9685              0.2448              
-0.6012             1.9741              0.2458              
-0.6141             1.9797              0.2469              
-0.627              1.9853              0.2479              
-0.6399             1.9908              0.2489              
-0.6527             1.9962              0.2499              
-0.6656             2.0015              0.2508              
-0.6784             2.0068              0.2518              
-0.6912             2.0121              0.2528              
-0.704              2.0173              0.2538              
-0.7167             2.0224              0.2547              
-0.7294             2.0274              0.2557              
-0.7421             2.0324              0.2566              
-0.7548             2.0374              0.2575              
-0.7675             2.0422              0.2585              
-0.7801             2.0471              0.2594              
-0.7928             2.0518              0.2603              
-0.8054             2.0565              0.2612              
-0.8179             2.0612              0.2621              
-0.8305             2.0658              0.263               
-0.843              2.0703              0.2639              
-0.8555             2.0748              0.2647              
-0.868              2.0793              0.2656              
-0.8805             2.0837              0.2665              
-0.8929             2.088               0.2673              
-0.9054             2.0923              0.2682              
-0.9178             2.0965              0.269               
-0.9302             2.1007              0.2699              
-0.9425             2.1048              0.2707              
-0.9548             2.1089              0.2715              
-0.9672             2.1129              0.2723              
-0.9795             2.1169              0.2731              
-0.9917             2.1209              0.274               
-1.004              2.1247              0.2748              
-1.0162             2.1286              0.2755              
-1.0284             2.1324              0.2763              
-1.0406             2.1361              0.2771              
-1.0527             2.1398              0.2779              
-1.0649             2.1435              0.2787              
-1.077              2.1471              0.2794              
-1.0891             2.1507              0.2802              
-1.1011             2.1542              0.2809              
-1.1132             2.1576              0.2817              
-1.1252             2.1611              0.2824              
-1.1372             2.1645              0.2831              
-1.1492             2.1678              0.2839              
