# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 15/ 4/2021, la deuxième au 16/ 4/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              Z (au)              
-5.9431             0.3001              0.2039              
-5.944              0.2965              0.2035              
-5.9449             0.2928              0.2031              
-5.9459             0.2891              0.2027              
-5.9468             0.2854              0.2023              
-5.9476             0.2818              0.2019              
-5.9485             0.2781              0.2015              
-5.9494             0.2744              0.2011              
-5.9503             0.2707              0.2007              
-5.9511             0.2671              0.2003              
-5.952              0.2634              0.1999              
-5.9528             0.2597              0.1995              
-5.9537             0.256               0.1991              
-5.9545             0.2523              0.1987              
-5.9553             0.2487              0.1983              
-5.9561             0.245               0.1979              
-5.9569             0.2413              0.1975              
-5.9577             0.2376              0.1971              
-5.9585             0.2339              0.1967              
-5.9593             0.2303              0.1963              
-5.96               0.2266              0.1959              
-5.9608             0.2229              0.1955              
-5.9615             0.2192              0.1951              
-5.9623             0.2155              0.1947              
-5.963              0.2118              0.1943              
-5.9637             0.2082              0.1938              
-5.9645             0.2045              0.1934              
-5.9652             0.2008              0.193               
-5.9659             0.1971              0.1926              
-5.9666             0.1934              0.1922              
-5.9673             0.1897              0.1918              
-5.9679             0.1861              0.1914              
-5.9686             0.1824              0.191               
-5.9693             0.1787              0.1906              
-5.9699             0.175               0.1902              
-5.9706             0.1713              0.1898              
-5.9712             0.1676              0.1894              
-5.9718             0.1639              0.189               
-5.9724             0.1603              0.1885              
-5.973              0.1566              0.1881              
-5.9736             0.1529              0.1877              
-5.9742             0.1492              0.1873              
-5.9748             0.1455              0.1869              
-5.9754             0.1418              0.1865              
-5.976              0.1381              0.1861              
-5.9765             0.1344              0.1857              
-5.9771             0.1307              0.1853              
-5.9776             0.1271              0.1848              
-5.9782             0.1234              0.1844              
-5.9787             0.1197              0.184               
-5.9792             0.116               0.1836              
-5.9797             0.1123              0.1832              
-5.9802             0.1086              0.1828              
-5.9807             0.1049              0.1824              
-5.9812             0.1012              0.182               
-5.9817             0.0975              0.1815              
-5.9822             0.0939              0.1811              
-5.9826             0.0902              0.1807              
-5.9831             0.0865              0.1803              
-5.9835             0.0828              0.1799              
-5.9839             0.0791              0.1795              
-5.9844             0.0754              0.1791              
-5.9848             0.0717              0.1786              
-5.9852             0.068               0.1782              
-5.9856             0.0643              0.1778              
-5.986              0.0606              0.1774              
-5.9864             0.0569              0.177               
-5.9868             0.0533              0.1766              
-5.9871             0.0496              0.1761              
-5.9875             0.0459              0.1757              
-5.9879             0.0422              0.1753              
-5.9882             0.0385              0.1749              
-5.9885             0.0348              0.1745              
-5.9889             0.0311              0.174               
-5.9892             0.0274              0.1736              
-5.9895             0.0237              0.1732              
-5.9898             0.02                0.1728              
-5.9901             0.0163              0.1724              
-5.9904             0.0126              0.172               
-5.9907             0.009               0.1715              
-5.991              0.0053              0.1711              
-5.9912             0.0016              0.1707              
-5.9915             -0.0021             0.1703              
-5.9917             -0.0058             0.1699              
-5.992              -0.0095             0.1694              
-5.9922             -0.0132             0.169               
-5.9924             -0.0169             0.1686              
-5.9926             -0.0206             0.1682              
-5.9928             -0.0243             0.1677              
-5.993              -0.028              0.1673              
-5.9932             -0.0317             0.1669              
-5.9934             -0.0353             0.1665              
-5.9936             -0.039              0.1661              
-5.9937             -0.0427             0.1656              
-5.9939             -0.0464             0.1652              
-5.994              -0.0501             0.1648              
-5.9942             -0.0538             0.1644              
-5.9943             -0.0575             0.1639              
-5.9944             -0.0612             0.1635              
-5.9946             -0.0649             0.1631              
-5.9947             -0.0686             0.1627              
-5.9948             -0.0723             0.1622              
-5.9949             -0.0759             0.1618              
-5.9949             -0.0796             0.1614              
-5.995              -0.0833             0.161               
-5.9951             -0.087              0.1605              
-5.9951             -0.0907             0.1601              
-5.9952             -0.0944             0.1597              
-5.9952             -0.0981             0.1593              
-5.9953             -0.1018             0.1588              
-5.9953             -0.1055             0.1584              
-5.9953             -0.1092             0.158               
-5.9953             -0.1128             0.1576              
-5.9953             -0.1165             0.1571              
-5.9953             -0.1202             0.1567              
-5.9953             -0.1239             0.1563              
-5.9953             -0.1276             0.1558              
-5.9952             -0.1313             0.1554              
-5.9952             -0.135              0.155               
-5.9951             -0.1387             0.1546              
-5.9951             -0.1424             0.1541              
-5.995              -0.146              0.1537              
-5.9949             -0.1497             0.1533              
-5.9949             -0.1534             0.1528              
-5.9948             -0.1571             0.1524              
-5.9947             -0.1608             0.152               
-5.9946             -0.1645             0.1515              
-5.9944             -0.1682             0.1511              
-5.9943             -0.1719             0.1507              
-5.9942             -0.1755             0.1503              
-5.9941             -0.1792             0.1498              
-5.9939             -0.1829             0.1494              
-5.9938             -0.1866             0.149               
-5.9936             -0.1903             0.1485              
-5.9934             -0.194              0.1481              
-5.9932             -0.1977             0.1477              
-5.993              -0.2013             0.1472              
-5.9929             -0.205              0.1468              
-5.9926             -0.2087             0.1464              
-5.9924             -0.2124             0.1459              
-5.9922             -0.2161             0.1455              
-5.992              -0.2198             0.1451              
-5.9917             -0.2234             0.1446              
-5.9915             -0.2271             0.1442              
-5.9912             -0.2308             0.1438              
-5.991              -0.2345             0.1433              
-5.9907             -0.2382             0.1429              
-5.9904             -0.2418             0.1425              
-5.9901             -0.2455             0.142               
-5.9898             -0.2492             0.1416              
-5.9895             -0.2529             0.1412              
-5.9892             -0.2566             0.1407              
-5.9889             -0.2602             0.1403              
-5.9886             -0.2639             0.1399              
-5.9882             -0.2676             0.1394              
-5.9879             -0.2713             0.139               
-5.9875             -0.275              0.1385              
-5.9872             -0.2786             0.1381              
-5.9868             -0.2823             0.1377              
-5.9864             -0.286              0.1372              
-5.9861             -0.2897             0.1368              
-5.9857             -0.2933             0.1364              
-5.9853             -0.297              0.1359              
-5.9848             -0.3007             0.1355              
-5.9844             -0.3044             0.1351              
-5.984              -0.308              0.1346              
-5.9836             -0.3117             0.1342              
-5.9831             -0.3154             0.1337              
-5.9827             -0.3191             0.1333              
-5.9822             -0.3227             0.1329              
-5.9817             -0.3264             0.1324              
-5.9813             -0.3301             0.132               
-5.9808             -0.3338             0.1315              
-5.9803             -0.3374             0.1311              
-5.9798             -0.3411             0.1307              
-5.9793             -0.3448             0.1302              
-5.9788             -0.3484             0.1298              
-5.9782             -0.3521             0.1293              
-5.9777             -0.3558             0.1289              
-5.9772             -0.3594             0.1285              
-5.9766             -0.3631             0.128               
-5.9761             -0.3668             0.1276              
-5.9755             -0.3704             0.1271              
-5.9749             -0.3741             0.1267              
-5.9743             -0.3778             0.1263              
-5.9737             -0.3814             0.1258              
-5.9731             -0.3851             0.1254              
-5.9725             -0.3888             0.1249              
-5.9719             -0.3924             0.1245              
-5.9713             -0.3961             0.1241              
-5.9707             -0.3998             0.1236              
-5.97               -0.4034             0.1232              
-5.9694             -0.4071             0.1227              
-5.9687             -0.4107             0.1223              
-5.968              -0.4144             0.1218              
-5.9674             -0.4181             0.1214              
-5.9667             -0.4217             0.121               
-5.966              -0.4254             0.1205              
-5.9653             -0.429              0.1201              
-5.9646             -0.4327             0.1196              
-5.9639             -0.4363             0.1192              
-5.9631             -0.44               0.1187              
-5.9624             -0.4437             0.1183              
-5.9617             -0.4473             0.1178              
-5.9609             -0.451              0.1174              
-5.9602             -0.4546             0.117               
-5.9594             -0.4583             0.1165              
-5.9586             -0.4619             0.1161              
-5.9579             -0.4656             0.1156              
-5.9571             -0.4692             0.1152              
-5.9563             -0.4729             0.1147              
-5.9555             -0.4765             0.1143              
-5.9546             -0.4802             0.1138              
-5.9538             -0.4838             0.1134              
-5.953              -0.4875             0.1129              
-5.9522             -0.4911             0.1125              
-5.9513             -0.4948             0.1121              
-5.9504             -0.4984             0.1116              
-5.9496             -0.502              0.1112              
-5.9487             -0.5057             0.1107              
-5.9478             -0.5093             0.1103              
-5.9469             -0.513              0.1098              
-5.946              -0.5166             0.1094              
-5.9451             -0.5203             0.1089              
-5.9442             -0.5239             0.1085              
-5.9433             -0.5275             0.108               
-5.9424             -0.5312             0.1076              
-5.9414             -0.5348             0.1071              
-5.9405             -0.5385             0.1067              
-5.9395             -0.5421             0.1062              
-5.9386             -0.5457             0.1058              
-5.9376             -0.5494             0.1053              
-5.9366             -0.553              0.1049              
-5.9356             -0.5566             0.1044              
-5.9346             -0.5603             0.104               
-5.9336             -0.5639             0.1035              
-5.9326             -0.5675             0.1031              
-5.9316             -0.5712             0.1026              
-5.9306             -0.5748             0.1022              
-5.9295             -0.5784             0.1017              
-5.9285             -0.582              0.1013              
-5.9274             -0.5857             0.1008              
-5.9264             -0.5893             0.1004              
-5.9253             -0.5929             0.0999              
-5.9242             -0.5966             0.0995              
-5.9231             -0.6002             0.099               
-5.922              -0.6038             0.0986              
-5.9209             -0.6074             0.0981              
-5.9198             -0.611              0.0977              
-5.9187             -0.6147             0.0972              
-5.9176             -0.6183             0.0968              
-5.9164             -0.6219             0.0963              
-5.9153             -0.6255             0.0959              
-5.9141             -0.6291             0.0954              
-5.913              -0.6328             0.095               
-5.9118             -0.6364             0.0945              
-5.9106             -0.64               0.0941              
-5.9094             -0.6436             0.0936              
-5.9082             -0.6472             0.0932              
-5.907              -0.6508             0.0927              
-5.9058             -0.6544             0.0923              
-5.9046             -0.658              0.0918              
-5.9034             -0.6617             0.0913              
-5.9021             -0.6653             0.0909              
-5.9009             -0.6689             0.0904              
-5.8996             -0.6725             0.09                
-5.8984             -0.6761             0.0895              
-5.8971             -0.6797             0.0891              
-5.8958             -0.6833             0.0886              
-5.8945             -0.6869             0.0882              
-5.8932             -0.6905             0.0877              
-5.8919             -0.6941             0.0873              
-5.8906             -0.6977             0.0868              
-5.8893             -0.7013             0.0864              
-5.888              -0.7049             0.0859              
-5.8866             -0.7085             0.0854              
-5.8853             -0.7121             0.085               
-5.8839             -0.7157             0.0845              
-5.8826             -0.7193             0.0841              
-5.8812             -0.7229             0.0836              
-5.8798             -0.7265             0.0832              
-5.8784             -0.73               0.0827              
-5.877              -0.7336             0.0823              
-5.8756             -0.7372             0.0818              
-5.8742             -0.7408             0.0813              
-5.8728             -0.7444             0.0809              
-5.8714             -0.748              0.0804              
-5.8699             -0.7516             0.08                
-5.8685             -0.7551             0.0795              
-5.867              -0.7587             0.0791              
-5.8656             -0.7623             0.0786              
-5.8641             -0.7659             0.0782              
-5.8626             -0.7695             0.0777              
-5.8611             -0.773              0.0772              
-5.8596             -0.7766             0.0768              
-5.8581             -0.7802             0.0763              
-5.8566             -0.7838             0.0759              
-5.8551             -0.7873             0.0754              
-5.8536             -0.7909             0.075               
-5.852              -0.7945             0.0745              
-5.8505             -0.7981             0.074               
-5.8489             -0.8016             0.0736              
-5.8474             -0.8052             0.0731              
-5.8458             -0.8088             0.0727              
-5.8442             -0.8123             0.0722              
-5.8426             -0.8159             0.0718              
-5.841              -0.8195             0.0713              
-5.8394             -0.823              0.0708              
-5.8378             -0.8266             0.0704              
-5.8362             -0.8301             0.0699              
-5.8346             -0.8337             0.0695              
-5.8329             -0.8372             0.069               
-5.8313             -0.8408             0.0685              
-5.8296             -0.8444             0.0681              
-5.8279             -0.8479             0.0676              
-5.8263             -0.8515             0.0672              
-5.8246             -0.855              0.0667              
-5.8229             -0.8586             0.0662              
-5.8212             -0.8621             0.0658              
-5.8195             -0.8657             0.0653              
-5.8178             -0.8692             0.0649              
-5.8161             -0.8727             0.0644              
-5.8143             -0.8763             0.0639              
-5.8126             -0.8798             0.0635              
-5.8108             -0.8834             0.063               
-5.8091             -0.8869             0.0626              
-5.8073             -0.8904             0.0621              
-5.8055             -0.894              0.0616              
-5.8038             -0.8975             0.0612              
-5.802              -0.9011             0.0607              
-5.8002             -0.9046             0.0603              
-5.7984             -0.9081             0.0598              
-5.7965             -0.9116             0.0593              
-5.7947             -0.9152             0.0589              
-5.7929             -0.9187             0.0584              
-5.791              -0.9222             0.058               
-5.7892             -0.9258             0.0575              
-5.7873             -0.9293             0.057               
-5.7855             -0.9328             0.0566              
-5.7836             -0.9363             0.0561              
-5.7817             -0.9398             0.0557              
-5.7798             -0.9434             0.0552              
-5.7779             -0.9469             0.0547              
-5.776              -0.9504             0.0543              
-5.7741             -0.9539             0.0538              
-5.7721             -0.9574             0.0533              
-5.7702             -0.9609             0.0529              
-5.7683             -0.9644             0.0524              
-5.7663             -0.9679             0.052               
-5.7643             -0.9715             0.0515              
-5.7624             -0.975              0.051               
-5.7604             -0.9785             0.0506              
-5.7584             -0.982              0.0501              
-5.7564             -0.9855             0.0496              
-5.7544             -0.989              0.0492              
-5.7524             -0.9925             0.0487              
-5.7504             -0.996              0.0483              
-5.7483             -0.9995             0.0478              
-5.7463             -1.0029             0.0473              
-5.7443             -1.0064             0.0469              
-5.7422             -1.0099             0.0464              
-5.7401             -1.0134             0.0459              
-5.7381             -1.0169             0.0455              
-5.736              -1.0204             0.045               
-5.7339             -1.0239             0.0446              
-5.7318             -1.0274             0.0441              
-5.7297             -1.0308             0.0436              
-5.7276             -1.0343             0.0432              
-5.7254             -1.0378             0.0427              
-5.7233             -1.0413             0.0422              
-5.7212             -1.0447             0.0418              
-5.719              -1.0482             0.0413              
-5.7169             -1.0517             0.0409              
-5.7147             -1.0552             0.0404              
-5.7125             -1.0586             0.0399              
-5.7103             -1.0621             0.0395              
-5.7081             -1.0656             0.039               
-5.7059             -1.069              0.0385              
-5.7037             -1.0725             0.0381              
-5.7015             -1.0759             0.0376              
-5.6993             -1.0794             0.0371              
-5.697              -1.0829             0.0367              
-5.6948             -1.0863             0.0362              
-5.6925             -1.0898             0.0357              
-5.6903             -1.0932             0.0353              
-5.688              -1.0967             0.0348              
-5.6857             -1.1001             0.0344              
-5.6834             -1.1036             0.0339              
-5.6811             -1.107              0.0334              
-5.6788             -1.1105             0.033               
-5.6765             -1.1139             0.0325              
-5.6742             -1.1173             0.032               
-5.6719             -1.1208             0.0316              
-5.6695             -1.1242             0.0311              
-5.6672             -1.1277             0.0306              
-5.6648             -1.1311             0.0302              
-5.6625             -1.1345             0.0297              
-5.6601             -1.138              0.0292              
-5.6577             -1.1414             0.0288              
-5.6553             -1.1448             0.0283              
-5.6529             -1.1482             0.0278              
-5.6505             -1.1517             0.0274              
-5.6481             -1.1551             0.0269              
-5.6456             -1.1585             0.0264              
-5.6432             -1.1619             0.026               
-5.6408             -1.1653             0.0255              
-5.6383             -1.1687             0.0251              
-5.6358             -1.1722             0.0246              
-5.6334             -1.1756             0.0241              
-5.6309             -1.179              0.0237              
-5.6284             -1.1824             0.0232              
-5.6259             -1.1858             0.0227              
-5.6234             -1.1892             0.0223              
-5.6209             -1.1926             0.0218              
-5.6184             -1.196              0.0213              
-5.6158             -1.1994             0.0209              
-5.6133             -1.2028             0.0204              
-5.6107             -1.2062             0.0199              
-5.6082             -1.2096             0.0195              
-5.6056             -1.213              0.019               
-5.603              -1.2164             0.0185              
-5.6005             -1.2197             0.0181              
-5.5979             -1.2231             0.0176              
-5.5953             -1.2265             0.0171              
-5.5926             -1.2299             0.0167              
-5.59               -1.2333             0.0162              
-5.5874             -1.2366             0.0157              
-5.5848             -1.24               0.0153              
-5.5821             -1.2434             0.0148              
-5.5795             -1.2468             0.0143              
-5.5768             -1.2501             0.0139              
-5.5741             -1.2535             0.0134              
-5.5714             -1.2569             0.0129              
-5.5687             -1.2602             0.0125              
-5.566              -1.2636             0.012               
-5.5633             -1.2669             0.0115              
-5.5606             -1.2703             0.0111              
-5.5579             -1.2737             0.0106              
-5.5552             -1.277              0.0101              
-5.5524             -1.2804             0.0097              
-5.5497             -1.2837             0.0092              
-5.5469             -1.2871             0.0087              
-5.5441             -1.2904             0.0083              
-5.5413             -1.2937             0.0078              
-5.5386             -1.2971             0.0073              
-5.5358             -1.3004             0.0069              
-5.5329             -1.3038             0.0064              
-5.5301             -1.3071             0.0059              
-5.5273             -1.3104             0.0055              
-5.5245             -1.3138             0.005               
-5.5216             -1.3171             0.0045              
-5.5188             -1.3204             0.0041              
-5.5159             -1.3237             0.0036              
-5.5131             -1.3271             0.0031              
-5.5102             -1.3304             0.0027              
-5.5073             -1.3337             0.0022              
-5.5044             -1.337              0.0017              
-5.5015             -1.3403             0.0013              
-5.4986             -1.3436             0.0008              
-5.4956             -1.3469             0.0003              
-5.4927             -1.3502             -0.0001             
-5.4898             -1.3535             -0.0006             
-5.4868             -1.3569             -0.0011             
-5.4839             -1.3601             -0.0015             
-5.4809             -1.3634             -0.002              
-5.4779             -1.3667             -0.0025             
-5.4749             -1.37               -0.0029             
-5.4719             -1.3733             -0.0034             
-5.4689             -1.3766             -0.0039             
-5.4659             -1.3799             -0.0043             
-5.4629             -1.3832             -0.0048             
-5.4599             -1.3865             -0.0053             
-5.4568             -1.3897             -0.0057             
-5.4538             -1.393              -0.0062             
-5.4507             -1.3963             -0.0067             
-5.4477             -1.3996             -0.0071             
-5.4446             -1.4028             -0.0076             
-5.4415             -1.4061             -0.0081             
-5.4384             -1.4094             -0.0085             
-5.4353             -1.4126             -0.009              
-5.4322             -1.4159             -0.0094             
-5.4291             -1.4192             -0.0099             
-5.4259             -1.4224             -0.0104             
-5.4228             -1.4257             -0.0108             
-5.4196             -1.4289             -0.0113             
-5.4165             -1.4322             -0.0118             
-5.4133             -1.4354             -0.0122             
-5.4101             -1.4387             -0.0127             
-5.407              -1.4419             -0.0132             
-5.4038             -1.4451             -0.0136             
-5.4006             -1.4484             -0.0141             
-5.3973             -1.4516             -0.0146             
-5.3941             -1.4548             -0.015              
-5.3909             -1.4581             -0.0155             
-5.3877             -1.4613             -0.016              
-5.3844             -1.4645             -0.0164             
-5.3811             -1.4677             -0.0169             
-5.3779             -1.471              -0.0174             
-5.3746             -1.4742             -0.0178             
-5.3713             -1.4774             -0.0183             
-5.368              -1.4806             -0.0188             
-5.3647             -1.4838             -0.0192             
-5.3614             -1.487              -0.0197             
-5.3581             -1.4902             -0.0202             
-5.3547             -1.4934             -0.0206             
-5.3514             -1.4966             -0.0211             
-5.3481             -1.4998             -0.0216             
-5.3447             -1.503              -0.022              
-5.3413             -1.5062             -0.0225             
-5.3379             -1.5094             -0.023              
-5.3346             -1.5126             -0.0234             
-5.3312             -1.5158             -0.0239             
-5.3278             -1.5189             -0.0244             
-5.3243             -1.5221             -0.0248             
-5.3209             -1.5253             -0.0253             
-5.3175             -1.5285             -0.0258             
-5.314              -1.5316             -0.0262             
-5.3106             -1.5348             -0.0267             
-5.3071             -1.538              -0.0272             
-5.3037             -1.5411             -0.0276             
-5.3002             -1.5443             -0.0281             
-5.2967             -1.5474             -0.0285             
-5.2932             -1.5506             -0.029              
-5.2897             -1.5537             -0.0295             
-5.2862             -1.5569             -0.0299             
-5.2826             -1.56               -0.0304             
-5.2791             -1.5632             -0.0309             
-5.2756             -1.5663             -0.0313             
-5.272              -1.5695             -0.0318             
-5.2684             -1.5726             -0.0323             
-5.2649             -1.5757             -0.0327             
-5.2613             -1.5789             -0.0332             
-5.2577             -1.582              -0.0337             
-5.2541             -1.5851             -0.0341             
-5.2505             -1.5882             -0.0346             
-5.2468             -1.5913             -0.0351             
-5.2432             -1.5945             -0.0355             
-5.2396             -1.5976             -0.036              
-5.2359             -1.6007             -0.0364             
-5.2323             -1.6038             -0.0369             
-5.2286             -1.6069             -0.0374             
-5.2249             -1.61               -0.0378             
-5.2212             -1.6131             -0.0383             
-5.2175             -1.6162             -0.0388             
-5.2138             -1.6193             -0.0392             
-5.2101             -1.6224             -0.0397             
-5.2064             -1.6254             -0.0402             
-5.2027             -1.6285             -0.0406             
-5.1989             -1.6316             -0.0411             
-5.1952             -1.6347             -0.0415             
-5.1914             -1.6378             -0.042              
-5.1876             -1.6408             -0.0425             
-5.1838             -1.6439             -0.0429             
-5.1801             -1.647              -0.0434             
-5.1763             -1.65               -0.0439             
-5.1724             -1.6531             -0.0443             
-5.1686             -1.6561             -0.0448             
-5.1648             -1.6592             -0.0452             
-5.161              -1.6622             -0.0457             
-5.1571             -1.6653             -0.0462             
-5.1532             -1.6683             -0.0466             
-5.1494             -1.6714             -0.0471             
-5.1455             -1.6744             -0.0476             
-5.1416             -1.6774             -0.048              
-5.1377             -1.6805             -0.0485             
-5.1338             -1.6835             -0.0489             
-5.1299             -1.6865             -0.0494             
-5.126              -1.6895             -0.0499             
-5.122              -1.6926             -0.0503             
-5.1181             -1.6956             -0.0508             
-5.1141             -1.6986             -0.0513             
-5.1102             -1.7016             -0.0517             
-5.1062             -1.7046             -0.0522             
-5.1022             -1.7076             -0.0526             
-5.0982             -1.7106             -0.0531             
-5.0942             -1.7136             -0.0536             
-5.0902             -1.7166             -0.054              
-5.0862             -1.7196             -0.0545             
-5.0821             -1.7226             -0.0549             
-5.0781             -1.7255             -0.0554             
-5.0741             -1.7285             -0.0559             
-5.07               -1.7315             -0.0563             
-5.0659             -1.7345             -0.0568             
-5.0618             -1.7374             -0.0572             
-5.0577             -1.7404             -0.0577             
-5.0536             -1.7434             -0.0582             
-5.0495             -1.7463             -0.0586             
-5.0454             -1.7493             -0.0591             
-5.0413             -1.7522             -0.0595             
-5.0371             -1.7552             -0.06               
-5.033              -1.7581             -0.0605             
-5.0288             -1.7611             -0.0609             
-5.0247             -1.764              -0.0614             
-5.0205             -1.7669             -0.0618             
-5.0163             -1.7699             -0.0623             
-5.0121             -1.7728             -0.0628             
-5.0079             -1.7757             -0.0632             
-5.0037             -1.7786             -0.0637             
-4.9994             -1.7816             -0.0641             
-4.9952             -1.7845             -0.0646             
-4.991              -1.7874             -0.065              
-4.9867             -1.7903             -0.0655             
-4.9824             -1.7932             -0.066              
-4.9782             -1.7961             -0.0664             
-4.9739             -1.799              -0.0669             
-4.9696             -1.8019             -0.0673             
-4.9653             -1.8048             -0.0678             
-4.9609             -1.8077             -0.0683             
-4.9566             -1.8105             -0.0687             
-4.9523             -1.8134             -0.0692             
-4.9479             -1.8163             -0.0696             
-4.9436             -1.8192             -0.0701             
-4.9392             -1.822              -0.0705             
-4.9348             -1.8249             -0.071              
-4.9304             -1.8277             -0.0714             
-4.926              -1.8306             -0.0719             
-4.9216             -1.8335             -0.0724             
-4.9172             -1.8363             -0.0728             
-4.9128             -1.8391             -0.0733             
-4.9083             -1.842              -0.0737             
-4.9039             -1.8448             -0.0742             
-4.8994             -1.8477             -0.0746             
-4.895              -1.8505             -0.0751             
-4.8905             -1.8533             -0.0755             
-4.886              -1.8561             -0.076              
-4.8815             -1.859              -0.0765             
-4.877              -1.8618             -0.0769             
-4.8725             -1.8646             -0.0774             
-4.868              -1.8674             -0.0778             
-4.8634             -1.8702             -0.0783             
-4.8589             -1.873              -0.0787             
-4.8543             -1.8758             -0.0792             
-4.8497             -1.8786             -0.0796             
-4.8452             -1.8814             -0.0801             
-4.8406             -1.8841             -0.0805             
-4.836              -1.8869             -0.081              
-4.8314             -1.8897             -0.0814             
-4.8267             -1.8925             -0.0819             
-4.8221             -1.8952             -0.0824             
-4.8175             -1.898              -0.0828             
-4.8128             -1.9008             -0.0833             
-4.8081             -1.9035             -0.0837             
-4.8035             -1.9063             -0.0842             
-4.7988             -1.909              -0.0846             
-4.7941             -1.9117             -0.0851             
-4.7894             -1.9145             -0.0855             
-4.7847             -1.9172             -0.086              
-4.78               -1.92               -0.0864             
-4.7752             -1.9227             -0.0869             
-4.7705             -1.9254             -0.0873             
-4.7657             -1.9281             -0.0878             
-4.761              -1.9308             -0.0882             
-4.7562             -1.9335             -0.0887             
-4.7514             -1.9362             -0.0891             
-4.7466             -1.9389             -0.0896             
-4.7418             -1.9416             -0.09               
-4.737              -1.9443             -0.0905             
-4.7322             -1.947              -0.0909             
-4.7273             -1.9497             -0.0914             
-4.7225             -1.9524             -0.0918             
-4.7176             -1.9551             -0.0923             
-4.7127             -1.9577             -0.0927             
-4.7079             -1.9604             -0.0932             
-4.703              -1.9631             -0.0936             
-4.6981             -1.9657             -0.094              
-4.6932             -1.9684             -0.0945             
-4.6882             -1.971              -0.0949             
-4.6833             -1.9737             -0.0954             
-4.6784             -1.9763             -0.0958             
-4.6734             -1.9789             -0.0963             
-4.6684             -1.9816             -0.0967             
-4.6635             -1.9842             -0.0972             
-4.6585             -1.9868             -0.0976             
-4.6535             -1.9894             -0.0981             
-4.6485             -1.992              -0.0985             
-4.6435             -1.9947             -0.099              
-4.6384             -1.9973             -0.0994             
-4.6334             -1.9999             -0.0998             
-4.6283             -2.0024             -0.1003             
-4.6233             -2.005              -0.1007             
-4.6182             -2.0076             -0.1012             
-4.6131             -2.0102             -0.1016             
-4.608              -2.0128             -0.1021             
-4.6029             -2.0154             -0.1025             
-4.5978             -2.0179             -0.1029             
-4.5927             -2.0205             -0.1034             
-4.5876             -2.023              -0.1038             
-4.5824             -2.0256             -0.1043             
-4.5773             -2.0281             -0.1047             
-4.5721             -2.0307             -0.1052             
-4.5669             -2.0332             -0.1056             
-4.5617             -2.0358             -0.106              
-4.5565             -2.0383             -0.1065             
-4.5513             -2.0408             -0.1069             
-4.5461             -2.0433             -0.1074             
-4.5409             -2.0458             -0.1078             
-4.5356             -2.0483             -0.1082             
-4.5304             -2.0508             -0.1087             
-4.5251             -2.0533             -0.1091             
-4.5198             -2.0558             -0.1096             
-4.5145             -2.0583             -0.11               
-4.5092             -2.0608             -0.1104             
-4.5039             -2.0633             -0.1109             
-4.4986             -2.0658             -0.1113             
-4.4933             -2.0682             -0.1118             
-4.4879             -2.0707             -0.1122             
-4.4826             -2.0732             -0.1126             
-4.4772             -2.0756             -0.1131             
-4.4718             -2.0781             -0.1135             
-4.4665             -2.0805             -0.1139             
-4.4611             -2.0829             -0.1144             
-4.4557             -2.0854             -0.1148             
-4.4502             -2.0878             -0.1152             
-4.4448             -2.0902             -0.1157             
-4.4394             -2.0926             -0.1161             
-4.4339             -2.0951             -0.1166             
-4.4285             -2.0975             -0.117              
-4.423              -2.0999             -0.1174             
-4.4175             -2.1023             -0.1179             
-4.412              -2.1047             -0.1183             
-4.4065             -2.107              -0.1187             
-4.401              -2.1094             -0.1192             
-4.3954             -2.1118             -0.1196             
-4.3899             -2.1142             -0.12               
-4.3843             -2.1165             -0.1204             
-4.3788             -2.1189             -0.1209             
-4.3732             -2.1212             -0.1213             
-4.3676             -2.1236             -0.1217             
-4.362              -2.1259             -0.1222             
-4.3564             -2.1283             -0.1226             
-4.3508             -2.1306             -0.123              
-4.3452             -2.1329             -0.1235             
-4.3395             -2.1352             -0.1239             
-4.3339             -2.1376             -0.1243             
-4.3282             -2.1399             -0.1248             
-4.3225             -2.1422             -0.1252             
-4.3168             -2.1445             -0.1256             
-4.3111             -2.1468             -0.126              
